FLAG,POS,MAPQ,TLEN,READ_LEN
4,0,0,0,222
4,0,0,0,522
4,0,0,0,461
4,0,0,0,520
4,0,0,0,501
4,0,0,0,449
4,0,0,0,451
4,0,0,0,695
4,0,0,0,462
4,0,0,0,291
4,0,0,0,415
4,0,0,0,383
4,0,0,0,509
4,0,0,0,515
4,0,0,0,506
4,0,0,0,458
4,0,0,0,458
4,0,0,0,546
4,0,0,0,452
4,0,0,0,448
4,0,0,0,520
4,0,0,0,443
4,0,0,0,510
4,0,0,0,467
4,0,0,0,536
4,0,0,0,488
4,0,0,0,397
4,0,0,0,501
4,0,0,0,466
4,0,0,0,493
4,0,0,0,804
4,0,0,0,476
4,0,0,0,437
4,0,0,0,526
4,0,0,0,441
4,0,0,0,461
4,0,0,0,458
4,0,0,0,481
4,0,0,0,528
4,0,0,0,466
4,0,0,0,522
4,0,0,0,441
4,0,0,0,463
4,0,0,0,443
4,0,0,0,853
4,0,0,0,479
4,0,0,0,467
4,0,0,0,1263
4,0,0,0,264
4,0,0,0,429
4,0,0,0,472
4,0,0,0,463
4,0,0,0,471
4,0,0,0,460
4,0,0,0,535
4,0,0,0,467
4,0,0,0,515
4,0,0,0,303
4,0,0,0,452
4,0,0,0,459
4,0,0,0,513
4,0,0,0,467
4,0,0,0,481
4,0,0,0,468
4,0,0,0,489
4,0,0,0,447
4,0,0,0,791
4,0,0,0,520
4,0,0,0,511
4,0,0,0,458
4,0,0,0,462
4,0,0,0,474
4,0,0,0,465
4,0,0,0,507
4,0,0,0,863
4,0,0,0,451
4,0,0,0,520
4,0,0,0,477
4,0,0,0,458
4,0,0,0,462
4,0,0,0,540
4,0,0,0,465
4,0,0,0,472
4,0,0,0,476
4,0,0,0,471
4,0,0,0,464
4,0,0,0,474
4,0,0,0,912
4,0,0,0,456
4,0,0,0,497
4,0,0,0,530
4,0,0,0,503
4,0,0,0,453
4,0,0,0,435
4,0,0,0,456
4,0,0,0,530
4,0,0,0,534
4,0,0,0,479
4,0,0,0,510
4,0,0,0,451
4,0,0,0,450
4,0,0,0,455
4,0,0,0,506
4,0,0,0,453
4,0,0,0,449
4,0,0,0,443
4,0,0,0,516
4,0,0,0,504
4,0,0,0,470
4,0,0,0,451
4,0,0,0,469
4,0,0,0,455
4,0,0,0,464
4,0,0,0,451
4,0,0,0,458
4,0,0,0,456
4,0,0,0,464
4,0,0,0,453
4,0,0,0,465
4,0,0,0,502
4,0,0,0,534
4,0,0,0,518
4,0,0,0,460
4,0,0,0,442
4,0,0,0,462
4,0,0,0,451
4,0,0,0,858
4,0,0,0,512
4,0,0,0,448
4,0,0,0,462
4,0,0,0,487
4,0,0,0,446
4,0,0,0,461
4,0,0,0,462
4,0,0,0,447
4,0,0,0,281
4,0,0,0,515
4,0,0,0,518
4,0,0,0,477
4,0,0,0,488
4,0,0,0,525
4,0,0,0,460
4,0,0,0,473
4,0,0,0,474
4,0,0,0,477
4,0,0,0,912
4,0,0,0,958
4,0,0,0,490
4,0,0,0,442
4,0,0,0,898
4,0,0,0,460
4,0,0,0,458
4,0,0,0,425
4,0,0,0,455
4,0,0,0,515
4,0,0,0,468
4,0,0,0,508
4,0,0,0,464
4,0,0,0,455
4,0,0,0,458
4,0,0,0,527
4,0,0,0,517
4,0,0,0,467
4,0,0,0,776
4,0,0,0,460
4,0,0,0,459
4,0,0,0,251
4,0,0,0,521
4,0,0,0,496
4,0,0,0,467
4,0,0,0,250
4,0,0,0,463
4,0,0,0,515
4,0,0,0,493
4,0,0,0,504
4,0,0,0,504
4,0,0,0,460
4,0,0,0,470
4,0,0,0,498
4,0,0,0,458
4,0,0,0,464
4,0,0,0,530
4,0,0,0,460
4,0,0,0,460
4,0,0,0,510
4,0,0,0,461
4,0,0,0,456
4,0,0,0,907
4,0,0,0,502
4,0,0,0,474
4,0,0,0,508
4,0,0,0,512
4,0,0,0,512
4,0,0,0,463
4,0,0,0,501
4,0,0,0,475
4,0,0,0,936
4,0,0,0,450
4,0,0,0,526
4,0,0,0,424
4,0,0,0,456
4,0,0,0,457
4,0,0,0,452
4,0,0,0,498
4,0,0,0,514
4,0,0,0,504
4,0,0,0,579
4,0,0,0,480
4,0,0,0,484
4,0,0,0,497
4,0,0,0,516
4,0,0,0,463
4,0,0,0,530
4,0,0,0,496
4,0,0,0,454
4,0,0,0,461
4,0,0,0,385
4,0,0,0,461
4,0,0,0,506
4,0,0,0,462
4,0,0,0,444
4,0,0,0,459
4,0,0,0,448
4,0,0,0,462
4,0,0,0,458
4,0,0,0,504
4,0,0,0,499
4,0,0,0,453
4,0,0,0,519
4,0,0,0,497
4,0,0,0,475
4,0,0,0,453
4,0,0,0,461
4,0,0,0,459
4,0,0,0,398
4,0,0,0,453
4,0,0,0,519
4,0,0,0,541
4,0,0,0,386
4,0,0,0,457
4,0,0,0,503
4,0,0,0,519
4,0,0,0,447
4,0,0,0,459
4,0,0,0,479
4,0,0,0,899
4,0,0,0,494
4,0,0,0,453
4,0,0,0,504
4,0,0,0,526
4,0,0,0,927
4,0,0,0,455
4,0,0,0,877
4,0,0,0,457
4,0,0,0,513
4,0,0,0,528
4,0,0,0,454
4,0,0,0,461
4,0,0,0,291
4,0,0,0,458
4,0,0,0,530
4,0,0,0,467
4,0,0,0,499
4,0,0,0,457
4,0,0,0,468
4,0,0,0,519
4,0,0,0,531
4,0,0,0,457
4,0,0,0,451
4,0,0,0,464
4,0,0,0,522
4,0,0,0,493
4,0,0,0,456
4,0,0,0,214
4,0,0,0,459
4,0,0,0,446
4,0,0,0,520
4,0,0,0,469
4,0,0,0,470
4,0,0,0,459
4,0,0,0,482
4,0,0,0,465
4,0,0,0,521
4,0,0,0,456
4,0,0,0,456
4,0,0,0,459
4,0,0,0,461
4,0,0,0,457
4,0,0,0,522
4,0,0,0,436
4,0,0,0,464
4,0,0,0,471
4,0,0,0,481
4,0,0,0,457
4,0,0,0,506
4,0,0,0,253
4,0,0,0,509
4,0,0,0,528
4,0,0,0,457
4,0,0,0,494
4,0,0,0,277
4,0,0,0,507
4,0,0,0,501
4,0,0,0,474
4,0,0,0,527
4,0,0,0,523
4,0,0,0,464
4,0,0,0,454
4,0,0,0,454
4,0,0,0,408
4,0,0,0,317
4,0,0,0,449
4,0,0,0,456
4,0,0,0,1255
4,0,0,0,454
4,0,0,0,490
4,0,0,0,525
4,0,0,0,519
4,0,0,0,457
4,0,0,0,524
4,0,0,0,462
4,0,0,0,446
4,0,0,0,533
4,0,0,0,521
4,0,0,0,533
4,0,0,0,459
4,0,0,0,465
4,0,0,0,451
4,0,0,0,515
4,0,0,0,522
4,0,0,0,465
4,0,0,0,490
4,0,0,0,481
4,0,0,0,302
4,0,0,0,520
4,0,0,0,450
4,0,0,0,456
4,0,0,0,445
4,0,0,0,510
4,0,0,0,470
4,0,0,0,455
4,0,0,0,473
4,0,0,0,527
4,0,0,0,470
4,0,0,0,507
4,0,0,0,319
4,0,0,0,844
4,0,0,0,422
4,0,0,0,495
4,0,0,0,458
4,0,0,0,526
4,0,0,0,455
4,0,0,0,504
4,0,0,0,500
4,0,0,0,461
4,0,0,0,465
4,0,0,0,471
4,0,0,0,528
4,0,0,0,326
4,0,0,0,464
4,0,0,0,518
4,0,0,0,469
4,0,0,0,512
4,0,0,0,519
4,0,0,0,523
4,0,0,0,424
4,0,0,0,469
4,0,0,0,423
4,0,0,0,509
4,0,0,0,457
4,0,0,0,464
4,0,0,0,527
4,0,0,0,454
4,0,0,0,463
4,0,0,0,535
4,0,0,0,472
4,0,0,0,508
4,0,0,0,487
4,0,0,0,530
4,0,0,0,458
4,0,0,0,468
4,0,0,0,464
4,0,0,0,493
4,0,0,0,447
4,0,0,0,514
4,0,0,0,520
4,0,0,0,523
4,0,0,0,461
4,0,0,0,493
4,0,0,0,323
4,0,0,0,461
4,0,0,0,467
4,0,0,0,520
4,0,0,0,416
4,0,0,0,463
4,0,0,0,453
4,0,0,0,1719
4,0,0,0,450
4,0,0,0,515
4,0,0,0,492
4,0,0,0,518
4,0,0,0,451
4,0,0,0,510
4,0,0,0,477
4,0,0,0,495
4,0,0,0,470
4,0,0,0,527
4,0,0,0,447
4,0,0,0,529
4,0,0,0,534
4,0,0,0,464
4,0,0,0,468
4,0,0,0,459
4,0,0,0,539
4,0,0,0,514
4,0,0,0,453
4,0,0,0,449
4,0,0,0,505
4,0,0,0,505
4,0,0,0,527
4,0,0,0,418
4,0,0,0,451
4,0,0,0,458
4,0,0,0,458
4,0,0,0,455
4,0,0,0,452
4,0,0,0,505
4,0,0,0,466
4,0,0,0,466
4,0,0,0,450
4,0,0,0,446
4,0,0,0,531
4,0,0,0,536
4,0,0,0,531
4,0,0,0,538
4,0,0,0,507
4,0,0,0,506
4,0,0,0,468
4,0,0,0,511
4,0,0,0,502
4,0,0,0,465
4,0,0,0,450
4,0,0,0,526
4,0,0,0,442
4,0,0,0,456
4,0,0,0,518
4,0,0,0,494
4,0,0,0,454
4,0,0,0,535
4,0,0,0,535
4,0,0,0,883
4,0,0,0,479
4,0,0,0,451
4,0,0,0,453
4,0,0,0,881
4,0,0,0,508
4,0,0,0,525
4,0,0,0,448
4,0,0,0,453
4,0,0,0,475
4,0,0,0,521
4,0,0,0,525
4,0,0,0,447
4,0,0,0,465
4,0,0,0,984
4,0,0,0,469
4,0,0,0,458
4,0,0,0,459
4,0,0,0,474
4,0,0,0,512
4,0,0,0,525
4,0,0,0,537
4,0,0,0,450
4,0,0,0,467
4,0,0,0,471
4,0,0,0,918
4,0,0,0,456
4,0,0,0,463
4,0,0,0,434
4,0,0,0,499
4,0,0,0,445
4,0,0,0,452
4,0,0,0,462
4,0,0,0,530
4,0,0,0,483
4,0,0,0,712
4,0,0,0,475
4,0,0,0,501
4,0,0,0,1332
4,0,0,0,808
4,0,0,0,508
4,0,0,0,528
4,0,0,0,441
4,0,0,0,448
4,0,0,0,465
4,0,0,0,538
4,0,0,0,470
4,0,0,0,436
4,0,0,0,530
4,0,0,0,522
4,0,0,0,459
4,0,0,0,521
4,0,0,0,466
4,0,0,0,517
4,0,0,0,460
4,0,0,0,469
4,0,0,0,447
4,0,0,0,467
4,0,0,0,504
4,0,0,0,463
4,0,0,0,448
4,0,0,0,524
4,0,0,0,453
4,0,0,0,528
4,0,0,0,505
4,0,0,0,462
4,0,0,0,497
4,0,0,0,469
4,0,0,0,768
4,0,0,0,502
4,0,0,0,437
4,0,0,0,493
4,0,0,0,1369
4,0,0,0,909
4,0,0,0,509
4,0,0,0,461
4,0,0,0,534
4,0,0,0,515
4,0,0,0,503
4,0,0,0,460
4,0,0,0,493
4,0,0,0,465
4,0,0,0,463
4,0,0,0,512
4,0,0,0,501
4,0,0,0,839
